List of Materials
Gold
Rose Gold
White Gold
Silver
Diamond
Resin
Green Aveturine Stone
Cubic Zirconia
Beads
Pearl (Freshwater)
Marquise Diamond
Natural Stone
Ivory
Leather
Stainless Steel
